DETAILS_0	Strong vs Metin
DETAILS_TOOLTIP_65	Chance to reflect melee hits: Part of the enemy's melee damage is reflected back at them.
DETAILS_TOOLTIP_66	HP recovery when killing: Your hit points increase when you kill an enemy.
DETAILS_TOOLTIP_67	SP recovery when killing: Your spell points increase when you kill an enemy.
DETAILS_TOOLTIP_68	Chance to gain double experience: Increases the chance of an EXP bonus when you defeat your opponent.
DETAILS_TOOLTIP_69	Chance to drop double Yang: Increases the chance of receiving twice the amount of Yang.
DETAILS_TOOLTIP_7	Strong against Animals: Deals heavier damage to wild animals.
DETAILS_TOOLTIP_70	Chance to drop items: Increases the chance of looting twice the number of items.
DETAILS_TOOLTIP_71	Increases your attack value.
DETAILS_TOOLTIP_72	Increases your defence value.
DETAILS_TOOLTIP_73	Increases the gathering of experience.
DETAILS_TOOLTIP_74	Item drop chance: Increases the probability of looting items.
DETAILS_TOOLTIP_75	Yang drop chance: Increases the probability of looting more Yang.
DETAILS_TOOLTIP_76	Reduces the damage you suffer on a magical attack.
DETAILS_TOOLTIP_77	Reduces your enemy's magic resistance.
DETAILS_TOOLTIP_8	Strong against Esoterics: Deals heavier damage to esoterics.
DETAILS_TOOLTIP_9	Strong against Devils: Deals heavier damage to devils.
DETAILS_TOOLTIP_ATTBONUS_BELL	Bell defence break: Reduces your opponent's bell defence.
DETAILS_TOOLTIP_ATTBONUS_BOW	Arrow defence break: Reduces your opponent's arrow defence.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Claw defence break: Reduces your opponent's claw defence.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Dagger defence break: Reduces your opponent's dagger defence.
DETAILS_TOOLTIP_ATTBONUS_FAN	Fan defence break: Reduces your opponent's fan defence.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Sword defence break: Reduces your opponent's sword defence.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Two-handed defence break: Reduces your opponent's two-handed defence.
DETAILS_TOOLTIP_HIT_PCT	Increases the chance of hitting the enemy
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Fall resistance: Reduces your chance of falling from your mount.
