DETAILS_0	Δύν. εν. Metin
DETAILS_TOOLTIP_9	Δύναμη ενάντια σε Διαβόλους: Προκαλεί μεγαλύτερη ζημιά σε διαβόλους.
DETAILS_TOOLTIP_ATTBONUS_BELL	Θραύση άμυνας καμπάνας: Μειώνει την άμυνα καμπάνας του αντιπάλου σου.
DETAILS_TOOLTIP_ATTBONUS_BOW	Θραύση άμυνας βέλους: Μειώνει την άμυνα βέλους του αντιπάλου σου.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Θραύση άμυνας νυχιών: Μειώνει την άμυνα νυχιών του αντιπάλου σου.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Θραύση άμυνας στιλέτου: Μειώνει την άμυνα στιλέτου του αντιπάλου σου.
DETAILS_TOOLTIP_ATTBONUS_FAN	Θραύση άμυνας βεντάλιας: Μειώνει την άμυνα βεντάλιας του αντιπάλου σου.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Θραύση άμυνας σπαθιού: Μειώνει την άμυνα σπαθιού του αντιπάλου σου.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Θραύση άμυνας δίχειρου: Μειώνει την άμυνα δίχειρου του αντιπάλου σου.
DETAILS_TOOLTIP_HIT_PCT	Αυξάνει την πιθανότητα να πετύχεις τον αντίπαλο
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Αντίσταση σε Πτώση: Μειώνει την πιθανότητα να πέσεις από ένα ζώο ιππασίας.
