DETAILS_0	Сила пр. метинов
DETAILS_68	Двойной опыт
DETAILS_69	Двойные янг
DETAILS_7	Сила против зверей
DETAILS_70	Шанс добычи
DETAILS_71	Показатель атаки
DETAILS_72	Защита
DETAILS_73	Опыт
DETAILS_74	Шанс добычи
DETAILS_75	Двойные янг
DETAILS_76	Сопр-ть магии
DETAILS_77	Рассеивание магии
DETAILS_8	Сила против мистиков
DETAILS_9	Сила против дьяволов
DETAILS_ATTBONUS_BELL	Надлом против колокольчиков
DETAILS_ATTBONUS_BOW	Надлом против стрел
DETAILS_ATTBONUS_CLAW	Надлом против когтей
DETAILS_ATTBONUS_DAGGER	Надлом против кинжалов
DETAILS_ATTBONUS_FAN	Надлом против вееров
DETAILS_ATTBONUS_SWORD	Надлом против мечей
DETAILS_ATTBONUS_TWOHAND	Надлом против двуручного оружия
DETAILS_CATE_1	Урон/защита
DETAILS_CATE_2	Стихийные бонусы
DETAILS_CATE_3	Бонусы класса
DETAILS_CATE_4	Бонусы оружия
DETAILS_CATE_5	Прочие бонусы
DETAILS_CATE_6	Особые бонусы
DETAILS_HIT_PCT	Меткость
DETAILS_RESIST_MOUNT_FALL	Сопротивляемость падению
DETAILS_TITLE	Детали
DETAILS_TOOLTIP_0	Сила против камней метина: вы наносите им больше урона.
DETAILS_TOOLTIP_1	Сила против полулюдей: вы наносите больший урон полулюдям.
DETAILS_TOOLTIP_10	Сила против монстров пустыни: вы наносите больше урона монстрам пустыни.
DETAILS_TOOLTIP_11	Сила против насекомых: вы наносите больше урона насекомым.
DETAILS_TOOLTIP_12	Повышает показатель атаки.
DETAILS_TOOLTIP_13	Повышает показатель защиты.
DETAILS_TOOLTIP_14	Повышает средний уровень урона, который вы наносите врагам при атаке.
DETAILS_TOOLTIP_15	Сопротивляемость среднему уровню урона: снижает получаемый урон при атаке на вас.
DETAILS_TOOLTIP_16	Повышает урон, наносимый навыками.
DETAILS_TOOLTIP_17	Сопротивляемость урону от навыков: снижает получаемый от навыков урон.
DETAILS_TOOLTIP_18	Повышает показатели и магической, и физической атаки.
DETAILS_TOOLTIP_19	Повышает урон, который вы наносите при магической атаке.
DETAILS_TOOLTIP_2	Сопротивляемость полулюдям: снижает получаемый от полулюдей урон.
DETAILS_TOOLTIP_20	Повышает шанс нанести критический удар.
DETAILS_TOOLTIP_21	Шанс на пронзающий удар: увеличивает шанс нанести пронзающий удар.
DETAILS_TOOLTIP_22	Сопротивляемость критическим ударам: снижает урон от критических ударов.
DETAILS_TOOLTIP_23	Сопротивляемость пронзающим ударам: снижает урон от пронзающих ударов.
DETAILS_TOOLTIP_24	Снижает получаемый от определенных монстров урон.
DETAILS_TOOLTIP_25	Снижает получаемый от определенных монстров урон.
DETAILS_TOOLTIP_26	Сопротивляемость тьме: снижает получаемый от определенных монстров урон.
DETAILS_TOOLTIP_27	Снижает получаемый от определенных монстров урон.
DETAILS_TOOLTIP_28	Снижает получаемый от определенных монстров урон.
DETAILS_TOOLTIP_29	Снижает получаемый от определенных монстров урон.
DETAILS_TOOLTIP_3	Сила против орков: вы наносите больше урона оркам.
DETAILS_TOOLTIP_30	Силой молнии повышает урон, который вы наносите.
DETAILS_TOOLTIP_31	Силой льда повышает урон, который вы наносите.
DETAILS_TOOLTIP_32	Силой тьмы повышает урон, который вы наносите.
DETAILS_TOOLTIP_33	Силой огня повышает урон, который вы наносите.
DETAILS_TOOLTIP_34	Силой ветра повышает урон, который вы наносите.
DETAILS_TOOLTIP_35	Силой земли повышает урон, который вы наносите.
DETAILS_TOOLTIP_36	Сила против воинов: вы наносите больше урона воинам.
DETAILS_TOOLTIP_37	Сила против ниндзя: вы наносите больше урона ниндзя.
DETAILS_TOOLTIP_38	Сила против сур: вы наносите больше урона сурам.
DETAILS_TOOLTIP_39	Сила против шаманов: вы наносите больше урона шаманам.
DETAILS_TOOLTIP_4	Сила против нежити: вы наносите больше урона нежити.
DETAILS_TOOLTIP_40	Сила против ликанов: вы наносите больше урона ликанам.
DETAILS_TOOLTIP_41	Шанс на отражение атак воинов: снижает получаемый от воинов урон.
DETAILS_TOOLTIP_42	Шанс на отражение атак ниндзя: снижает получаемый от ниндзя урон.
DETAILS_TOOLTIP_43	Шанс на отражение атак сур: снижает получаемый от cур урон.
DETAILS_TOOLTIP_44	Шанс на отражение атак шаманов: снижает получаемый от шаманов урон.
DETAILS_TOOLTIP_45	Шанс на отражение атак ликанов: снижает получаемый от ликанов урон.
DETAILS_TOOLTIP_46	Снижает получаемый от мечей урон.
DETAILS_TOOLTIP_47	Снижает получаемый от двуручного оружия урон.
DETAILS_TOOLTIP_48	Снижает получаемый от кинжалов урон.
DETAILS_TOOLTIP_49	Снижает получаемый от когтей урон.
DETAILS_TOOLTIP_5	Сила против монстров: вы наносите больше урона монстрам.
DETAILS_TOOLTIP_50	Снижает получаемый от колокольчиков урон.
DETAILS_TOOLTIP_51	Снижает получаемый от вееров урон.
DETAILS_TOOLTIP_52	Снижает получаемый от луков и стрел урон.
DETAILS_TOOLTIP_53	Повышает шанс устроить врагу головокружение.
DETAILS_TOOLTIP_54	Повышает шанс замедлить врага.
DETAILS_TOOLTIP_55	Повышает шанс отравить врага.
DETAILS_TOOLTIP_56	Снижает получаемый от яда урон.
DETAILS_TOOLTIP_57	Повышает шанс провести атаку с кровотечением.
DETAILS_TOOLTIP_58	Сопротивляемость атакам с кровотечением: снижает получаемый от атак с кровотечением урон.
DETAILS_TOOLTIP_59	Попадая по врагу, вы крадете его ХП.
DETAILS_TOOLTIP_6	Сила против зодиак-монстров: вы наносите больше урона зодиак-монстрам.
DETAILS_TOOLTIP_60	Попадая по врагу, вы крадете его МП.
DETAILS_TOOLTIP_61	Ускоряет восстановление ваших очков жизненной энергии (ХП).
DETAILS_TOOLTIP_62	Ускоряет восстановление ваших очков маны (МП).
DETAILS_TOOLTIP_63	Шанс поставить блок физической атаке: повышает шанс избежать физической атаки противника.
DETAILS_TOOLTIP_64	Шанс увернуться от стрелы: повышает шанс избежать стрелы или дальней атаки монстра.
DETAILS_TOOLTIP_65	Шанс отразить физическую атаку противника: часть урона от физической атаки врага перейдет на него самого.
DETAILS_TOOLTIP_66	Восстановление ХП при убийстве: вы получаете очки жизненной энергии за убийства врагов.
DETAILS_TOOLTIP_67	Восстановление МП при убийстве: вы получаете очки маны за убийства врагов.
DETAILS_TOOLTIP_68	Шанс получить вдвое больше опыта: повышает шанс на бонусный опыт при победе над противником.
DETAILS_TOOLTIP_69	Шанс получить вдвое больше янг: повышает вероятность получить вдвое больше янг в добыче.
DETAILS_TOOLTIP_7	Сила против зверей: вы наносите больше урона диким зверям.
DETAILS_TOOLTIP_70	Шанс на выпадание предметов: повышает шанс получить вдвое больше предметов в добыче.
DETAILS_TOOLTIP_71	Повышает показатель атаки.
DETAILS_TOOLTIP_72	Повышает показатель защиты.
DETAILS_TOOLTIP_73	Повышает сбор опыта.
DETAILS_TOOLTIP_74	Шанс на выпадание предметов: повышает ваши шансы добыть предметы.
DETAILS_TOOLTIP_75	Шанс на выпадание янг: повышает ваши шансы получить янг в добыче.
DETAILS_TOOLTIP_76	Снижает урон, получаемый при магической атаке.
DETAILS_TOOLTIP_77	Снижает сопротивляемость магии вашего противника.
DETAILS_TOOLTIP_8	Сила против мистиков: вы наносите больше урона мистикам.
DETAILS_TOOLTIP_9	Сила против дьяволов: вы наносите больше урона дьяволам.
DETAILS_TOOLTIP_ATTBONUS_BELL	Надлом защиты от удара колокольчиком: снижает защиту вашего противника от удара колокольчиком.
DETAILS_TOOLTIP_ATTBONUS_BOW	Надлом защиты от удара стрелой: снижает защиту вашего противника от удара стрелой.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Надлом защиты от удара когтем: снижает защиту вашего противника от удара когтем.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Надлом защиты от удара кинжалом: снижает защиту вашего противника от удара кинжалом.
DETAILS_TOOLTIP_ATTBONUS_FAN	Надлом защиты от удара веером: снижает защиту вашего противника от удара веером.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Надлом защиты от удара мечом: снижает защиту вашего противника от удара мечом.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Надлом защиты от удара двуручным оружием: снижает защиту вашего противника от удара двуручным оружием.
DETAILS_TOOLTIP_HIT_PCT	Повышает шанс попасть во врага
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Сопротивляемость падению: уменьшает вероятность упасть с ездового животного.
