DETAILS_0	ёжн ÷ѕ «бг« нд
DETAILS_ATTBONUS_SWORD	я”— «б”нЁ
DETAILS_ATTBONUS_TWOHAND	я”— ”нЁ «бнѕнд
DETAILS_CATE_1	÷——/ѕЁ«Џ
DETAILS_CATE_2	Џб«ж«  «бЏд«’—
DETAILS_CATE_3	Џб«ж«  «бЎ»ё« 
DETAILS_CATE_4	Џб«ж«  «б”б«Ќ
DETAILS_CATE_5	Џб«ж«  √ќ—м
DETAILS_CATE_6	Џб«ж«  ќ«’…
DETAILS_HIT_PCT	«бѕё…
DETAILS_RESIST_MOUNT_FALL	гё«жг… «б”ёжЎ
DETAILS_TITLE	«б Ё«’нб
DETAILS_TOOLTIP_0	ёжн ÷ѕ √Ќћ«— «бг« нд: н”»» ÷——« «я»— Џбм √Ќћ«— «бг« нд.
DETAILS_TOOLTIP_1	ёжн ÷ѕ д’Ё «б»‘—:  бЌё ÷—— √я»— »д’Ё «б»‘—.
DETAILS_TOOLTIP_10	ёжн ÷ѕ жЌж‘ «б’Ќ—«Ѕ: н”»» ÷——« √я»— ÷ѕ жЌж‘ «б’Ќ—«Ѕ.
DETAILS_TOOLTIP_11	ёжн ÷ѕ «бЌ‘—« : н”»» ÷——« √я»— ÷ѕ «бЌ‘—« 
DETAILS_TOOLTIP_12	н—ЁЏ ёнг… «бећжг «бќ«’… »я.
DETAILS_TOOLTIP_13	н—ЁЏ гд ёнг… «бѕЁ«Џ «бќ«’… »я.
DETAILS_TOOLTIP_14	н—ЁЏ гд ёнг… гЏѕб «б÷—— «б–н  ”»»е √Ћд«Ѕ «бећжг.
DETAILS_TOOLTIP_15	гё«жг… гЏѕб «б÷——: нёбб гд ёнг… гЏѕб «б÷—— «б–н   Џ—÷ бе √Ћд«Ѕ «бећжг.
DETAILS_TOOLTIP_16	н—ЁЏ гд ёнг… √÷—«— «бге«—….
DETAILS_TOOLTIP_17	гё«жг… √÷—«— «бге«—…: нёбб гд ёнг… √÷—«— «бге«—… «б н   Џ—÷ бе« Џдѕ «бећжг.
DETAILS_TOOLTIP_18	н—ЁЏ гд ёнг… «бећжг «бћ”ѕн ж«б”Ќ—н.
DETAILS_TOOLTIP_19	н—ЁЏ гд ёнг… «б÷—— «б–н  бЌёе бќ’жгя Џдѕ ≈” ќѕ«г ећжг ”Ќ—н.
DETAILS_TOOLTIP_2	гё«жг… д’Ё «б»‘—: нёбб гд «б÷—— «б–н   Џ—÷ бе Џдѕ ге«ћг я гд д’Ё «б»‘—.
DETAILS_TOOLTIP_20	н—ЁЏ гд Ё—’  Ќёнё ≈’«»… Ќ—ћ….
DETAILS_TOOLTIP_21	Ё—’…  Ќёнё ÷—»… ќ«—ё…: н—ЁЏ гд Ё—’  Ќёнё ÷—»… ќ«—ё….
DETAILS_TOOLTIP_22	гё«жг… «б≈’«»… «бЌ—ћ…: нёбб гд «б÷—— «б–н   Џ—÷ бе Џдѕ  Џ—÷я б≈’«»… Ќ—ћ….
DETAILS_TOOLTIP_23	гё«жг… «б÷—»… «бќ«—ё…: нёбб гд «б÷—— «б–н   Џ—÷ бе Џдѕ ≈’«» я »÷—»… ќ«—ё….
DETAILS_TOOLTIP_24	нёбб гд «б÷—— «б–н   ”»» »е жЌж‘ гЏнд….
DETAILS_TOOLTIP_25	нёбб гд «б÷—— «б–н   ”»» »е жЌж‘ гЏнд….
DETAILS_TOOLTIP_26	гё«жг… «бўб«г: нёбб гд «б÷—— «б–н   ”»» »е жЌж‘ гЏнд….
DETAILS_TOOLTIP_27	нёбб гд «б÷—— «б–н   ”»» »е жЌж‘ гЏнд….
DETAILS_TOOLTIP_28	нёбб гд «б÷—— «б–н   ”»» »е жЌж‘ гЏнд….
DETAILS_TOOLTIP_29	нёбб гд «б÷—— «б–н   ”»» »е жЌж‘ гЏнд….
DETAILS_TOOLTIP_3	ёжн ÷ѕ «бџнб«д: н—ЁЏ гд ёнг… «б÷— ÷ѕ «бџнб«д.
DETAILS_TOOLTIP_30	н—ЁЏ гд «б÷—— «б–н  ”»»е »ёж… «б÷жЅ.
DETAILS_TOOLTIP_31	н—ЁЏ гд «б÷—— «б–н  ”»»е »ёж… «бћбнѕ.
DETAILS_TOOLTIP_32	н—ЁЏ гд «б÷—— «б–н  ”»»е »ёж… «бўб«г.
DETAILS_TOOLTIP_33	н—ЁЏ гд «б÷—— «б–н  ”»»е »ёж… «бд«—.
DETAILS_TOOLTIP_34	н—ЁЏ гд «б÷—— «б–н  ”»»е »ёж… «б—н«Ќ.
DETAILS_TOOLTIP_35	н—ЁЏ гд «б÷—— «б–н  ”»»е »ёж… «б√—÷.
DETAILS_TOOLTIP_36	ёжн ÷ѕ «бгЌ«—»: н—ЁЏ гд ёнг… «б÷— ÷ѕ «бгЌ«—»нд.
DETAILS_TOOLTIP_37	ёжн ÷ѕ «бдндћ«: н—ЁЏ гд ёнг… «б÷— ÷ѕ «бдндћ«.
DETAILS_TOOLTIP_38	ёжн ÷ѕ «б”ж—«: н—ЁЏ гд ёнг… «б÷— ÷ѕ «б”ж—«.
DETAILS_TOOLTIP_39	ёжн ÷ѕ «б‘«г«д: н—ЁЏ гд ёнг… «б÷— ÷ѕ «б‘«г«д.
DETAILS_TOOLTIP_4	ёжн ÷ѕ «б“жг»н: н—ЁЏ гд ёнг… «б÷— ÷ѕ «б“жг»н.
DETAILS_TOOLTIP_40	ёжн ÷ѕ «ббня«д—: н—ЁЏ гд ёнг… «б÷— ÷ѕ «ббня«д—.
DETAILS_TOOLTIP_41	гё«жг… ећг«  «бгЌ«—»: нёбб гд «б÷—— «б–н н”»»е ећжг «бгЌ«—».
DETAILS_TOOLTIP_42	гё«жг… ећг«  дндћ«: нёбб гд «б÷—— «б–н н”»»е ећжг «бдндћ«.
DETAILS_TOOLTIP_43	гё«жг… ећг«  «б”ж—«: нёбб гд «б÷—— «б–н н”»»е ећжг «б”ж—«.
DETAILS_TOOLTIP_44	гё«жг… ећг«  «б‘«г«д: нёбб гд «б÷—— «б–н н”»»е ећжг «б‘«г«д.
DETAILS_TOOLTIP_45	гё«жг… ећг«  «ббня«д—: нёбб гд «б÷—— «б–н н”»»е ећжг «ббня«д—.
DETAILS_TOOLTIP_46	нёбб гд «б÷—— «б–н н”»»е «б”нЁ.
DETAILS_TOOLTIP_47	нёбб гд «б÷—— «б–н н”»»е ”нЁ «бнѕнд.
DETAILS_TOOLTIP_48	нёбб гд «б÷—— «б–н н”»»е «бќдћ—.
DETAILS_TOOLTIP_49	нёбб гд «б÷—— «б–н н”»»е «бгќб».
DETAILS_TOOLTIP_5	ёжн ÷ѕ «бжЌж‘: н—ЁЏ гд ёнг… «б÷— ÷ѕ «бжЌж‘.
DETAILS_TOOLTIP_50	нёбб гд «б÷—— «б–н н”»»е «бћ—”.
DETAILS_TOOLTIP_51	нёбб гд «б÷—— «б–н  ”»»е «бг—жЌ….
DETAILS_TOOLTIP_52	нёбб гд «б÷—— «б–н н”»»е «бёж”.
DETAILS_TOOLTIP_53	н—ЁЏ гд Ё—’ «б ”»» »≈џг«Ѕ ббќ’г.
DETAILS_TOOLTIP_54	н—ЁЏ гд Ё—’ «б ”»» »≈»Ў«Ѕ ббќ’г.
DETAILS_TOOLTIP_55	н—ЁЏ гд Ё—’ «б ”»» » ”гг ббќ’г.
DETAILS_TOOLTIP_56	нёбб гд «б÷—— «б–н н”»»е «б”г.
DETAILS_TOOLTIP_57	н—ЁЏ гд Ё—’  Ќёнё ећжг гхд“Ё.
DETAILS_TOOLTIP_58	гё«жг… «бећжг «бгд“Ё: нёбб гд «б÷—— «б–н н”»»е «бећжг «бгд“Ё.
DETAILS_TOOLTIP_59	”—ё… дё«Ў «бЌн«… гд ќ’гя Џдѕ ён«гя »÷—»е.
DETAILS_TOOLTIP_6	ёжн ÷ѕ жЌж‘ “жѕн«я: н—ЁЏ гд «б÷—— «бг ”»» ÷ѕ жЌж‘ “жѕн«я
DETAILS_TOOLTIP_60	”—ё… дё«Ў «б√”бж» гд ќ’гя Џдѕ ён«гя »÷—»е.
DETAILS_TOOLTIP_61	н—ЁЏ гд ”—Џ… ≈” Џ«ѕ… дё«Ў «бЌн«….
DETAILS_TOOLTIP_62	н—ЁЏ гд ”—Џ… ≈” Џ«ѕ… дё«Ў «б√”бж».
DETAILS_TOOLTIP_63	Ё—’… ’уѕ «бећжг Џд ё—»:  —ЁЏ гд Ё—’… ’ѕ «бећжг Џд ё—».
DETAILS_TOOLTIP_64	Ё—’  Ё«ѕн «бећжг »«б”е«г:  —ЁЏ гд Ё—’  Ё«ѕн ећжг »«б”е«г гд «бжЌж‘.
DETAILS_TOOLTIP_65	Ё—’х Џя” ÷—»«  «бећг«  Џд ё—»:  —ЁЏ гд Ё—’ Џя” ÷—»«  «бећг«  Џд ё—» ≈бм «бќ’г.
DETAILS_TOOLTIP_66	≈” Џ«ѕ… дё«Ў «бЌн«… √Ћд«Ѕ «бё «б: Џдѕ ён«гя »ё б «бќ’г° Ё≈д дё«Ў Ќн« я  “ѕ«ѕ.
DETAILS_TOOLTIP_67	≈” Џ«ѕ… дё«Ў «б√”бж» √Ћд«Ѕ «бё «б: Џдѕ ён«гя »ё б «бќ’г° Ё≈д дё«Ў √”бж»я  “ѕ«ѕ.
DETAILS_TOOLTIP_68	Ё—’… г÷«ЏЁ… «бќ»—… EXP:  —ЁЏ гд Ё—’… «бЌ’жб Џбм Џб«ж… ќ»—… г÷«ЏЁ… Џдѕ ён«гя »ё б «бќ’г.
DETAILS_TOOLTIP_69	Ё—’… ≈”ё«Ў ÷ЏЁ ягн… «бн«дџ:  —ЁЏ гд Ё—’… «бЌ’жб Џбм ÷ЏЁ ягн… «бн«дџ Џдѕ ён«гя »ё б «бќ’г.
DETAILS_TOOLTIP_7	ёжн ÷ѕ «бЌнж«д« : н—ЁЏ гд ёнг… «б÷— ÷ѕ «бЌнж«д« .
DETAILS_TOOLTIP_70	Ё—’… ≈”ё«Ў «б√ѕж« :  —ЁЏ гд Ё—’… «бЌ’жб Џбм √ѕж«  г÷«ЏЁ… Џдѕ ён«гя »ё б «бќ’г.
DETAILS_TOOLTIP_71	н—ЁЏ ёнг… «бећжг «бќ«’… »я.
DETAILS_TOOLTIP_72	н—ЁЏ гд ёнг… «бѕЁ«Џ «бќ«’… »я.
DETAILS_TOOLTIP_73	н—ЁЏ гд ћгЏ дё«Ў «бќ»—….
DETAILS_TOOLTIP_74	Ё—’ ≈”ё«Ў «б√‘н«Ѕ:  —ЁЏ гд Ё—’ ”б» «б√‘н«Ѕ.
DETAILS_TOOLTIP_75	Ё—’ ≈”ё«Ў «бн«дџ:  —ЁЏ гд Ё—’ «бЌ’жб Џбм н«дџ г÷«ЏЁ.
DETAILS_TOOLTIP_76	нёбб гд «б÷—— «б–н нбЌёе «бќ’г Џдѕ  Џ—÷я бећжг ”Ќ—н.
DETAILS_TOOLTIP_77	нёбб гд гё«жг… «б”Ќ— бѕм ќ’жгя.
DETAILS_TOOLTIP_8	ёжн ÷ѕ «бЎ«∆Ё… «б”—н…: н—ЁЏ гд ёнг… «б÷— ÷ѕ «бЎ«∆Ё… «б”—н….
DETAILS_TOOLTIP_9	ёжн ÷ѕ «б‘нЎ«д: н—ЁЏ гд ёнг… «б÷— ÷ѕ «б‘н«Ўнд.
DETAILS_TOOLTIP_ATTBONUS_BELL	я”— ѕЁ«Џ «бћ—”: нёбб гд «бѕЁ«Џ «бћ—”н бѕм ќ’гя.
DETAILS_TOOLTIP_ATTBONUS_BOW	я”— ѕЁ«Џ «б”ег: нёбб гд гё«жг… «б”е«г бѕм ќ’гя
DETAILS_TOOLTIP_ATTBONUS_CLAW	я”— ѕЁ«Џ «бгќб»: нёбб гд «бѕЁ«Џ «бгќб»н бѕм ќ’гя.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	я”— ѕЁ«Џ «бќдћ—: нёбб гд «бѕЁ«Џ «бќдћ—н бѕм ќ’гя.
DETAILS_TOOLTIP_ATTBONUS_FAN	я”— ѕЁ«Џ «бг—жЌ…: нёбб гд «бѕЁ«Џ «бг—жЌн бѕм ќ’гя.
DETAILS_TOOLTIP_ATTBONUS_SWORD	я”— ѕЁ«Џ «б”нЁ: нёбб гд «бѕЁ«Џ «б”нЁн бѕм ќ’гя.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	я”— ѕЁ«Џ ”нЁ «бнѕнд: нёбб гд ѕЁ«Џ ”нЁ «бнѕнд бѕм ќ’гя.
DETAILS_TOOLTIP_HIT_PCT	н—ЁЏ гд Ё—’ ≈’«»… «бќ’г
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	гё«жг… «б”ёжЎ:  ёбб гд Ё—’ ”ёжЎя гд Џбм ўе— ѕ«» я.
