DETAILS_0	Forte contra Metin
DETAILS_TOOLTIP_17	Resistência a Dano de Habilidades: reduz o dano que te é infligido por uma habilidade.
DETAILS_TOOLTIP_18	Aumenta tanto o teu Valor de Ataque Físico como o Mágico.
DETAILS_TOOLTIP_19	Aumenta o dano que infliges a inimigos com um ataque mágico.
DETAILS_TOOLTIP_2	Resistência a Semi-Humanos: reduz o dano que sofres de Semi-Humanos.
DETAILS_TOOLTIP_20	Aumenta a probabilidade de desferires um Golpe Crítico.
DETAILS_TOOLTIP_21	Probabilidade de Golpe Perfurante: aumenta a probabilidade de desferires um Golpe Perfurante.
DETAILS_TOOLTIP_22	Resistência a Golpes Críticos: reduz o dano infligido por um Golpe Crítico.
DETAILS_TOOLTIP_23	Resistência a Golpes Perfurantes: reduz o dano infligido por um Golpe Perfurante.
DETAILS_TOOLTIP_24	Reduz o dano que sofres de certos monstros.
DETAILS_TOOLTIP_25	Reduz o dano que sofres de certos monstros.
DETAILS_TOOLTIP_26	Resistência a Trevas: reduz o dano que sofres de certos monstros.
DETAILS_TOOLTIP_27	Reduz o dano que sofres de certos monstros.
DETAILS_TOOLTIP_28	Reduz o dano que sofres de certos monstros.
DETAILS_TOOLTIP_29	Reduz o dano que sofres de certos monstros.
DETAILS_TOOLTIP_3	Forte contra Orcs: inflige mais dano a Orcs.
DETAILS_TOOLTIP_30	Aumenta o dano que infliges com o poder dos raios.
DETAILS_TOOLTIP_31	Aumenta o dano que infliges com o poder do gelo.
DETAILS_TOOLTIP_32	Aumenta o dano que infliges com o poder das trevas.
DETAILS_TOOLTIP_33	Aumenta o dano que infliges com o poder do fogo.
DETAILS_TOOLTIP_34	Aumenta o dano que infliges com o poder do vento.
DETAILS_TOOLTIP_35	Aumenta o dano que infliges com o poder da terra.
DETAILS_TOOLTIP_36	Forte contra Guerreiros: inflige mais dano a Guerreiros.
DETAILS_TOOLTIP_37	Forte contra Ninjas: inflige mais dano a Ninjas.
DETAILS_TOOLTIP_38	Forte contra Suras: inflige mais dano a Suras.
DETAILS_TOOLTIP_39	Forte contra Xamãs: inflige mais dano a Xamãs.
DETAILS_TOOLTIP_4	Forte contra Mortos-Vivos: inflige mais dano a Mortos-Vivos.
DETAILS_TOOLTIP_40	Forte contra Lycans: inflige mais dano a Lycans.
DETAILS_TOOLTIP_41	Defesa contra Ataques de Guerreiros: reduz o dano que sofres de Guerreiros.
DETAILS_TOOLTIP_42	Defesa contra Ataques de Ninjas: reduz o dano que sofres de Ninjas.
DETAILS_TOOLTIP_43	Defesa contra Ataques de Suras: reduz o dano que sofres de Suras.
DETAILS_TOOLTIP_44	Defesa contra Ataques de Xamãs: reduz o dano que sofres de Xamãs.
DETAILS_TOOLTIP_45	Defesa contra Ataques de Lycans: reduz o dano que sofres de Lycans.
DETAILS_TOOLTIP_46	Reduz o dano infligido por uma espada.
DETAILS_TOOLTIP_47	Reduz o dano infligido por uma arma de duas mãos.
DETAILS_TOOLTIP_48	Reduz o dano infligido por uma adaga.
DETAILS_TOOLTIP_49	Reduz o dano infligido por uma garra.
DETAILS_TOOLTIP_5	Forte contra Monstros: inflige mais dano a Monstros.
DETAILS_TOOLTIP_50	Reduz o dano infligido por uma campainha.
DETAILS_TOOLTIP_51	Reduz o dano infligido por um leque.
DETAILS_TOOLTIP_52	Reduz o dano infligido por arcos e flechas.
DETAILS_TOOLTIP_53	Aumenta a probabilidade de atordoar um adversário.
DETAILS_TOOLTIP_54	Aumenta a probabilidade de abrandar um adversário.
DETAILS_TOOLTIP_55	Aumenta a probabilidade de envenenar um adversário.
DETAILS_TOOLTIP_56	Reduz o dano infligido por veneno.
DETAILS_TOOLTIP_57	Aumenta a probabilidade de desferir um ataque de sangramento.
DETAILS_TOOLTIP_58	Resistência contra Ataque de Sangramento: reduz o dano infligido por um Ataque de Sangramento.
DETAILS_TOOLTIP_59	Drena a VD do teu inimigo quando o atinges.
DETAILS_TOOLTIP_6	Forte contra Monstros do Zodíaco: inflige mais dano a monstros do Zodíaco.
DETAILS_TOOLTIP_60	Drena a MN do teu inimigo quando o atinges.
DETAILS_TOOLTIP_61	Aumenta a recuperação dos teus pontos de vida.
DETAILS_TOOLTIP_62	Aumenta a recuperação dos teus pontos de magia.
DETAILS_TOOLTIP_63	Probabilidade de bloquear um ataque corpo-a-corpo: aumenta a probabilidade de evasão a um ataque corpo-a-corpo.
DETAILS_TOOLTIP_64	Probabilidade de evitar um ataque de flecha: aumenta a probabilidade de evadir um ataque de flecha ou de longo alcance de um monstro.
DETAILS_TOOLTIP_65	Probabilidade de reflectir ataques corpo-a-corpo: parte do dano corpo-a-corpo do inimigo é reflectido de volta contra ele.
DETAILS_TOOLTIP_66	Recuperação de VD ao Matar: os teus pontos de vida aumentam quando matas um inimigo.
DETAILS_TOOLTIP_67	Recuperação de MN ao Matar: os teus pontos de magia aumentam quando matas um inimigo.
DETAILS_TOOLTIP_68	Probabilidade de receber experiência a dobrar: aumenta a probabilidade de um bónus de EXP quando derrotas um inimigo.
DETAILS_TOOLTIP_69	Probabilidade de receber Yang a dobrar: aumenta a probabilidade de receber uma quantidade de Yang a dobrar.
DETAILS_TOOLTIP_7	Forte contra Animais: inflige mais dano a animais selvagens.
DETAILS_TOOLTIP_70	Probabilidade de Queda de Itens: aumenta a probabilidade de pilhar o dobro da quantidade de itens.
DETAILS_TOOLTIP_71	Aumenta o teu Valor de Ataque.
DETAILS_TOOLTIP_72	Aumenta o teu Valor de Defesa.
DETAILS_TOOLTIP_73	Aumenta a obtenção de experiência.
DETAILS_TOOLTIP_74	Probabilidade de queda de itens: aumenta a probabilidade de pilhares itens.
DETAILS_TOOLTIP_75	Probabilidade de queda de Yang: aumenta a probabilidade de pilhares mais Yang.
DETAILS_TOOLTIP_76	Reduz o dano que sofres com um ataque mágico.
DETAILS_TOOLTIP_77	Reduz a Resistência Mágica do teu inimigo.
DETAILS_TOOLTIP_8	Forte contra Esotéricos: inflige mais dano a Esotéricos.
DETAILS_TOOLTIP_9	Forte contra Demónios: inflige mais dano a Demónios.
DETAILS_TOOLTIP_ATTBONUS_BELL	Ruptura de Defesa contra Campainhas: reduz a Defesa contra Campainhas do teu adversário.
DETAILS_TOOLTIP_ATTBONUS_BOW	Ruptura de Defesa contra Flechas: reduz a Defesa contra Flechas do teu adversário.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Ruptura de Defesa contra Garras: reduz a Defesa contra Garras do teu adversário.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Ruptura de Defesa contra Punhais: reduz a Defesa contra Punhais do teu adversário.
DETAILS_TOOLTIP_ATTBONUS_FAN	Ruptura de Defesa contra Leques: reduz a Defesa contra Leques do teu adversário.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Ruptura de Defesa contra Espadas: reduz a Defesa contra Espadas do teu adversário.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Ruptura de Defesa contra Duas Mãos: reduz a Defesa contra Duas Mãos do teu adversário.
DETAILS_TOOLTIP_HIT_PCT	Aumenta a probabilidade de atingir o inimigo
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Resistência a Queda: reduz a probabilidade de caíres da tua montada.
