DETAILS_0	Forte contro Metin
DETAILS_TOOLTIP_19	Aumenta il danno che infliggi agli avversari tramite attacco magico.
DETAILS_TOOLTIP_2	Resistenza ai Mezziuomini: riduce il danno che viene inflitto dai Mezziuomini.
DETAILS_TOOLTIP_20	Aumenta la probabilità di mettere a segno un colpo critico.
DETAILS_TOOLTIP_21	Probabilità di colpo trafiggente: aumenta la probabilità di mettere a segno un colpo trafiggente.
DETAILS_TOOLTIP_22	Resistenza ai colpi critici: riduce il danno che viene inflitto dai colpi critici.
DETAILS_TOOLTIP_23	Resistenza ai colpi trafiggenti: riduce il danno che viene inflitto dai colpi trafiggenti.
DETAILS_TOOLTIP_24	Riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_25	Riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_26	Resistenza all'oscurità: riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_27	Riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_28	Riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_29	Riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_3	Forza contro Orchi: infligge una maggiore quantità di danni agli Orchi.
DETAILS_TOOLTIP_30	Incrementa il danno che provochi tramite la forza del fulmine.
DETAILS_TOOLTIP_31	Incrementa il danno che provochi tramite la forza del ghiaccio.
DETAILS_TOOLTIP_32	Incrementa il danno che provochi tramite la forza dell'oscurità.
DETAILS_TOOLTIP_33	Incrementa il danno che provochi tramite la forza del fuoco.
DETAILS_TOOLTIP_34	Incrementa il danno che provochi tramite la forza del vento.
DETAILS_TOOLTIP_35	Incrementa il danno che provochi tramite la forza della terra.
DETAILS_TOOLTIP_36	Forte contro i guerrieri: infligge una maggiore quantità di danni ai guerrieri.
DETAILS_TOOLTIP_37	Forte contro i ninja: infligge una maggiore quantità di danni ai ninja.
DETAILS_TOOLTIP_38	Forte contro i sura: infligge una maggiore quantità di danni ai sura.
DETAILS_TOOLTIP_39	Forte contro gli shamani: infligge una maggiore quantità di danni agli shamani.
DETAILS_TOOLTIP_4	Forte contro gli Zombie: infligge una maggiore quantità di danni agli Zombie.
DETAILS_TOOLTIP_40	Forte contro i lican: infligge una maggiore quantità di danni ai lican.
DETAILS_TOOLTIP_41	Probabilità di difesa dagli attacchi dei guerrieri: riduce il danno che viene inflitto dai guerrieri.
DETAILS_TOOLTIP_42	Probabilità di difesa dagli attacchi dei ninja: riduce il danno che viene inflitto dai ninja.
DETAILS_TOOLTIP_43	Probabilità di difesa dagli attacchi dei sura: riduce il danno che viene inflitto dai sura.
DETAILS_TOOLTIP_44	Probabilità di difesa dagli attacchi degli shamani: riduce il danno che viene inflitto dagli shamani.
DETAILS_TOOLTIP_45	Probabilità di difesa dagli attacchi dei lican: riduce il danno che viene inflitto dai lican.
DETAILS_TOOLTIP_46	Riduce il danno che viene inflitto da una spada.
DETAILS_TOOLTIP_47	Riduce il danno che viene inflitto da un'arma a due mani.
DETAILS_TOOLTIP_48	Riduce il danno che viene inflitto da un pugnale.
DETAILS_TOOLTIP_49	Riduce il danno che viene inflitto da un artiglio.
DETAILS_TOOLTIP_5	Forte contro i mostri: infligge una maggiore quantità di danni ai mostri.
DETAILS_TOOLTIP_50	Riduce il danno che viene inflitto da una campana.
DETAILS_TOOLTIP_51	Riduce il danno che viene inflitto da un ventaglio.
DETAILS_TOOLTIP_52	Riduce il danno che viene inflitto da una freccia e da un arco.
DETAILS_TOOLTIP_53	Aumenta la probabilità di far svenire un avversario.
DETAILS_TOOLTIP_54	Aumenta la probabilità di rallentare un avversario.
DETAILS_TOOLTIP_55	Aumenta la probabilità di avvelenare un avversario.
DETAILS_TOOLTIP_56	Riduce il danno che viene inflitto da un veleno.
DETAILS_TOOLTIP_57	Aumenta la probabilità di mettere a segno un attacco sanguinante.
DETAILS_TOOLTIP_58	Resistenza all'attacco sanguinante: riduce il danno che viene inflitto da un attacco sanguinante.
DETAILS_TOOLTIP_59	Quando colpisci il tuo avversario, gli sottrae HP.
DETAILS_TOOLTIP_6	Forte contro i mostri dello zodiaco: infligge una maggiore quantità di danni ai mostri Zodiaco.
DETAILS_TOOLTIP_60	Quando colpisci il tuo avversario, gli sottrae MP.
DETAILS_TOOLTIP_61	Accelera la rigenerazione dei tuoi punti vita.
DETAILS_TOOLTIP_62	Accelera la rigenerazione dei tuoi punti mana.
DETAILS_TOOLTIP_63	Probabilità di bloccare attacchi nella lotta corpo a corpo: aumenta la probabilità di schivare un attacco corpo a corpo.
DETAILS_TOOLTIP_64	Probabilità di schivare frecce: aumenta la probabilità di schivare l'attacco, a distanza o con frecce, di un mostro.
DETAILS_TOOLTIP_65	Probabilità di riflettere un colpo nella lotta corpo a corpo: una parte del danno della lotta corpo a corpo viene restituito all'avversario.
DETAILS_TOOLTIP_66	Ripristino HP quando si uccide: quando uccidi un avversario, i tuoi punti vita aumentano.
DETAILS_TOOLTIP_67	Ripristino MP quando si uccide: quando uccidi un avversario, i tuoi punti mana aumentano.
DETAILS_TOOLTIP_68	Probabilità di ricevere esperienza doppia: aumenta la probabilità di ricevere un bonus EXP quando hai sconfitto un avversario.
DETAILS_TOOLTIP_69	Probabilità di droppare il doppio degli Yang: aumenta la tua probabilità di ricevere il doppio degli Yang.
DETAILS_TOOLTIP_7	Forte contro gli animali: infligge una maggiore quantità di danni agli animali selvatici.
DETAILS_TOOLTIP_70	Probabilità di droppare oggetti: aumenta la probabilità di ottenere il doppio degli oggetti.
DETAILS_TOOLTIP_71	Incrementa il tuo valore d'attacco.
DETAILS_TOOLTIP_72	Incrementa il tuo valore di difesa
DETAILS_TOOLTIP_73	Aumenta la raccolta di esperienza.
DETAILS_TOOLTIP_74	Probabilità di droppare oggetti: raddoppia la tua probabilità di ottenere oggetti.
DETAILS_TOOLTIP_75	Probabilità di droppare Yang: incrementa la tua probabilità di ottenere più Yang.
DETAILS_TOOLTIP_76	Riduce il danno che subisci tramite attacco magico.
DETAILS_TOOLTIP_77	Riduce la resistenza magia del tuo avversario.
DETAILS_TOOLTIP_8	Forte contro gli esoterici: infligge una maggiore quantità di danni agli esoterici.
DETAILS_TOOLTIP_9	Forte contro i diavoli: infligge una maggiore quantità di danni ai diavoli.
DETAILS_TOOLTIP_ATTBONUS_BELL	Interruzione della difesa campana: riduce la difesa campana dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_BOW	Interruzione della difesa freccia: riduce la difesa freccia dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Interruzione della difesa artigli: riduce la difesa artigli dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Interruzione della difesa pugnale: riduce la difesa pugnale dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_FAN	Interruzione della difesa ventaglio: riduce la difesa ventaglio dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Interruzione della difesa spada: riduce la difesa spada dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Interruzione della difesa spadone: riduce la difesa spadone dell'avversario.
DETAILS_TOOLTIP_HIT_PCT	Aumenta la probabilità di colpire un avversario.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Resistenza alla caduta: riduce la probabilità di cadere dalla cavalcatura.
