DETAILS_0	Sterk tegen Metin
DETAILS_TOOLTIP_56	Vermindert de schade toegebracht door gif.
DETAILS_TOOLTIP_57	Verhoogt de kans om een bloedingsaanval uit te voeren.
DETAILS_TOOLTIP_58	Weerstand tegen bloedingsaanvallen: Vermindert de schade toegebracht door een bloedingsaanval.
DETAILS_TOOLTIP_59	Steelt LP van je vijanden als je ze raakt.
DETAILS_TOOLTIP_6	Sterk tegen Zodiac Monsters: Brengt zwaardere schade toe aan Zodiac-monsters.
DETAILS_TOOLTIP_60	Steelt TP van je vijanden als je ze raakt.
DETAILS_TOOLTIP_61	Verhoogt het herstel van je levenspunten.
DETAILS_TOOLTIP_62	Verhoogt het herstel van je spreukpunten.
DETAILS_TOOLTIP_63	Kans om een fysieke aanval te blokkeren: Verhoogt de kans op het ontwijken van een fysieke aanval.
DETAILS_TOOLTIP_64	Kans om een pijlaanval te ontwijken: Verhoogt de kans op het ontwijken van pijl- of afstandsaanval door een monster.
DETAILS_TOOLTIP_65	Kans om fysieke aanvallen te weerkaatsen: Een deel van de fysieke aanval van de vijand wordt weerkaatst naar hen.
DETAILS_TOOLTIP_66	HP herstel bij doden: Je levenspunten stijgen wanneer je een vijand doodt.
DETAILS_TOOLTIP_67	TP herstel bij doden: Je spreukpunten stijgen wanneer je een vijand doodt.
DETAILS_TOOLTIP_68	Kans om dubbele ervaring te krijgen: Verhoogt de kans op een ERV-bonus als je een tegenstander verslaat.
DETAILS_TOOLTIP_69	Kans op dubbele Yang: Verhoogt de kans op het ontvangen van twee keer zoveel Yang.
DETAILS_TOOLTIP_7	Sterk tegen dieren: Brengt zwaardere schade toe aan dieren.
DETAILS_TOOLTIP_70	Kans op het droppen van items: Verhoogt de kans op het buitmaken van twee keer zoveel items.
DETAILS_TOOLTIP_71	Verhoogt je aanvalswaarde
DETAILS_TOOLTIP_72	Verhoogt je verdedigingswaarde
DETAILS_TOOLTIP_73	Verhoogt het verzamelen van ervaring.
DETAILS_TOOLTIP_74	Item drop-kans: Verhoogt de kans op het buitmaken van items.
DETAILS_TOOLTIP_75	Yang drop-kans: Verhoogt de kans op het buitmaken van meer Yang.
DETAILS_TOOLTIP_76	Vermindert de schade die je oploopt bij een magische aanval.
DETAILS_TOOLTIP_77	Vermindert de magieweerstand van je vijand.
DETAILS_TOOLTIP_8	Sterk tegen Esoteristen: Brengt zwaardere schade toe aan esoteristen.
DETAILS_TOOLTIP_9	Sterk tegen Duivels: Brengt zwaardere schade toe aan duivels.
DETAILS_TOOLTIP_ATTBONUS_BELL	Belverdedigingsbreuk: Vermindert de belverdediging van je tegenstander.
DETAILS_TOOLTIP_ATTBONUS_BOW	Pijlverdedigingsbreuk: Vermindert de pijlverdediging van je tegenstander.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Klauwverdedigingsbreuk: Vermindert de klauwverdediging van je tegenstander.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Dolkverdedigingsbreuk: Vermindert de dolkverdediging van je tegenstander.
DETAILS_TOOLTIP_ATTBONUS_FAN	Waaierverdedigingsbreuk: Vermindert de waaierverdediging van je tegenstander.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Zwaardverdedigingsbreuk: Vermindert de zwaardverdediging van je tegenstander.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Tweehandsverdedigingsbreuk: Vermindert de tweehandsverdediging van je tegenstander.
DETAILS_TOOLTIP_HIT_PCT	Verhoogt de kans om een vijand te raken
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Valweerstand: Vermindert de kans om van je rijdier af te vallen.
