DETAILS_0	Si³a vs Metin
DETAILS_TOOLTIP_74	Szansa na drop przedmiotów: zwiêksza szansê na zdobycie przedmiotów.
DETAILS_TOOLTIP_75	Szansa na drop Yang: zwiêksza szansê na zdobycie wiêcej Yang.
DETAILS_TOOLTIP_76	Zmniejsza obra¿enia odnoszone wskutek magicznych ataków.
DETAILS_TOOLTIP_77	Zmniejsza odpornoœæ na magiê twojego przeciwnika.
DETAILS_TOOLTIP_8	Si³a w walce z mistykami: zadaje wiêksze obra¿enia mistykom.
DETAILS_TOOLTIP_9	Si³a w walce diab³ami: zadaje wiêksze obra¿enia diab³om.
DETAILS_TOOLTIP_ATTBONUS_BELL	Z³amanie Odpornoœci na Dzwony: zmniejsza odpornoœæ na dzwony przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_BOW	Z³amanie Odpornoœci na Strza³y: zmniejsza odpornoœæ na strza³y przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Z³amanie Odpornoœci na Szpony: zmniejsza odpornoœæ na szpony przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Z³amanie Odpornoœci na Sztylety: zmniejsza odpornoœæ na sztylety przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_FAN	Z³amanie Odpornoœci na Wachlarze: zmniejsza odpornoœæ na wachlarze przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Z³amanie Odpornoœci na Miecze: zmniejsza odpornoœæ na miecze przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Z³amanie Odpornoœci na Bronie oburêczne: zmniejsza odpornoœæ na bronie oburêczne przeciwnika.
DETAILS_TOOLTIP_HIT_PCT	Zwiêksza szansê na trafienie przeciwnika
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Odpornoœæ na Upadek: zmniejsza ryzyko upadku z wierzchowca.
